pid,sentence1,sentence2
37150,Check GK Score & Rank,what is my position on the gk leaderboard
6910,It's more expensive compared to others,This is more expensive
34279,i want to book cab,I want to book cab for later
46640,pay ASF with debit card,How do I pay my ASF in advance
37287,Who are playing today's ipl match,Next ipl match
3528,How to book a train,how to use cashback
12222,Will book later,I will let you know about my booking later
47865,Teri maa chuda le,Teri maa ki chut
41804,Please book a flight,New flight booking
14658,pancard verification failed,my verification has failed
7051,I want to delete my reminder,remove reminders
7477,want to get my report but I dont have Lab id,But the the new report is not available
10216,back to products,Get me back to Products
12096,Book ola auto,want to book ola
23891,Help me with flight booking,I want to book a flight
75915,Didn't get amount after inviting friends,when does amount gets credited in account?
4217,Will I be charged every time I connect through auto connect?,auto connect for iOS
15120,any deal,any offers on bus tickets
3222,Did not receive,No
18432,Can I link multiple account to my trading account?,How to link multiple account?
3701,Play and win,The haptik play and win quiz
23391,show the cricket leader,cricket Leader
29435,remove alert live status,remove alert pnr status
29829,delete all reminders,show my all reminder
11072,didnt get,I did not get cashback
25261,set a reminder walk,set a reminder
32827,Please send your pic,Can you send me your pic
12814,Show me the current team standings.,show me current scores
27028,Please tell me best domestic flight offer,any offer on flight booking
18338,deals,My Cashback not received
51197,That was the right order number,This order number is true
74169,I want to add items to my list,Hi! I want to add items to my list .
64790,I want to know fares of flights,I want flight rate
40984,That was the right ID,The order ID is right
34339,you guys are charging convenience fees,How much will be the convenience fee
56564,book ticket from mumbai to pune,14 th feb morning flight to goa 7 adults 2 kids
69893,Is there another way to receive the pin,received pin
31746,Need to know the Survival Benefits,survival benefit of saral nivesh
32974,received password,not receiving password
3607,I had a hard time booking,I had a hard time making my payment
14983,want to apply the voucher,How to apply the voucher code
28103,time taken to list a loan,How much time it takes?
36502,customise corporate tour,customize corporate tours
7060,Do you have features for WAAC,WAAC
55083,How much discount the coupon code has,"Hi, I want to book a flight ticket using the cashback offer . ."
22469,Hi! I want to book a bus ticket. .,I want to book bus tickets for Diwali
10120,I didn't get my cash back,Not get my Cashback
66085,How to delete this chat,I would like to cancel my Daily Horoscope updates
25124,my EMI is not deducted,why is my EMI not deducted
44575,Benefits of premium wifi,how to pay for premium wifi
12526,I want to book a flight,I want to check flight bookings
62989,Train booking,i want to book train ticket
41315,how to see login page,Unable to see any OTP
67853,Advantages of trading account,Trading account
75880,I want offers on cab booking.,I want discounts on cab tickets.
74718,i want to book rail ticket,Book train
26854,I forgot my LAB ID,lab id
71580,That was the right order ID,Can't find order ID
31610,tell me my nominee details,Update Nominee details for CDSL Demat
23923,how can I get demat number details,how do i get my dividend
38587,Can I pay my landline bill via Haptik,I want to pay the landline bill
6373,Where to apply coupon code?,Hey I want to apply code .
69827,Are there any fees in opening an account?,What happens if I don't trade at all? Would you still charge any fees etc?
9843,i want to change my address,address change
25514,any offers on trains,Is there any offer on train tickets
71661,speaker,"Hi, I want to know the price of Touchlight Speaker ."
5624,Is it possible to pay Landline bills using this app?,Can i pay  electricity bill using haptik
72443,Stop all reminders,show my all reminder
8593,I would like to cancel Joke of the day subscription,cancel Joke of the day subscription
394,Give me your pic,Give me your mobile number
17513,Facing issues while login using my Email ID,what is your mail ID
8535,show me flights from mumbai to pune,give me flight fare alerts
542,offers,Cashback Not Received
8636,How will you charge me for this.,Charge
42394,Hi can you tell me fees of Oman visa .,Hi! Tell me more about the camera. .
48566,Do u have any promocode,Any Offers on Movies
68661,I want to book bus tickets for Christmas,Hi! I want to book a bus ticket.   .
22519,"Hey, I want to book a flight ticket .",Hey I want to cancelle a ticket booked with you can u help .
65076,Cancel all reminders,view all reminders
28478,I want discounts on flights,Please tell me best domestic flight offer
23014,send ticket on mail,please email me my ticket
30635,Can you share the Survival benefits?,What will be the Survival Benefits of WAAC
24275,recommend some book store near me,book store near me
70718,Tell answer of the questions,Can you give me answer of these questions
35647,want train tickets from mumbai to pune,Sxr to dehli air price
529,am I eligible for any cricket prize today,How will I get the cricket prize
25421,i am facing issue with app,Still facing issue
6209,Book a flight,I want to book flight tickets Can you help me
4081,matrix hair colour,hair colouring
29600,How can i make payment,"Once guest makes the payment, in how many days we will issue Forex to guest?"
43050,help me with nearest place for car repair,closest place with wifi
26898,Cash back not come,Cash back not received
3730,motivation quote,Modify this  motivational quote reminder
43762,remind me about ,remiand me about 
18385,which store is delivering to me,which store is delivering
1877,Please mail me the previously booked flight ticket,Book me a flight
26126,Are you stupid,Get the hell out of here
55292,suggest me Flight Tickets,I want to book flight tickets for Diwali
51503,This is the correct order ID,I have checked it. The ID given is correct.
17593,any cashback on flight tickets,any cashback on flight booking
45319,Please book the closest cab excluding share/pool,Get me nearest cab
74121,Any offer,any offer on flight booking
64338,Is there is any coupon,Is there any landline payment offer?
7295,I need invoice for my test,Send the invoice
67502,how to transfer fund through NEFT,How to transfer shares
35438,Schedule a reminder for horoscope,set a reminder exercise
13763,schedule a reminder walk,schedule a reminder
565,Please email the tickets,I didnt get the ticket in email
32789,can you tell me how to download the receipt,I want to download the receipt
29691,Hi Now along with finding cheapest flights DO pay convenience fees of upto Rs. 350! Only on Haptik  . .,Convenience charges
75926,This order ID is right,Where can I find my order ID?
1712,Show timings for MTV,Change timings for show
139,Help me with Survival Benefits of GCAP,I wanna know about Survival Benefits
31266,I would like to cancel my Daily motivational quote,I want to cancel horoscope subscription
17546,check out,want to check items in my cart
3361,modification Reminder to Call,remind me to do yoga
26712,where will cash back be used,Cash back not receive
31109,super built up area,built up area
11932,Can i enroll the nominee option in CDSL ?,enroll nominee to demat account
50123,What does Repairs under warranty cover?,replace under warranty
28707,Not accomodating when I needed to cancel my ticket,Cancelling my ticket was very time intensive
12630,any offer on flight booking,Is there student concession flights
9056,I want details about discount coupon codes,need details about a test
56660,What all can you do for me,What all can you help me with
23032,i want offer on flight tickets,Please tell me best domestic flight offer
69251,get a pin,Didn't get my pin
59301,Plz list out flights options,Send me flight timings from Mumbai to Bangalore
49310,May I please know the Premium for WAAC,Share the details of premium for WAAC
39307,"I checked, the order ID given is correct",That order ID is correct
62822,Any cashback on flights,any offers on buses
47139,link paytm account,don't have paytm account
68348,recommend Flight Tickets,want to buy Flight Tickets
37907,show me points table,points table
37370,airlines used for group tours,vehicle used for group tour
61124,rate of the test,may i know the rate of the test
58620,One time password is not working please resend,One time password didnt receive
50322,I want to book a flight,I want to book flight tickets.
74914,any cashback,Any Discount on Movies
13461,i want offer on flight booking.,Book flights
20392,sorry change this reminder,modify a reminder
6743,17kg,450 KG Maxima Cylinder
2716,suggest me Flight Tickets,show me flights from mumbai to pune
32355,Order ID is correct,I gave the correct ID
2508,Play again,I want play again
30841,Training is Paid,Will I have to pay for the Training
16706,Home visit is possible ?,Do you do home visit ?
50389,Give me more Health benefits,show more reminders
55709,Please help me with flight booking,like to buy Flight Tickets
53790,ID mentioned is correct,There is No Lab ID mention on the receipt
12542,How fast can I get your new connection ?,How much is your new connection price ?
18005,report problem,I want to report an issue
47923,Do you have features of My life,Need to know features of My life
41122,I want pin on chat,Need the pin to enter
24193,What is winning price,Winning price
67690,Can you remind me to call someone,Reminder to Call Modification
15285,But dropped at different location,I want to book for different location
24181,Will you give the payment in advance?,How you will give the payment CASH or Cheque
29991,How to verify my mail id,time to verify my pan card?
22451,I need a reminder to drink water,my reminder list
39293,Plz give your phone number,your phone number
71584,I want to talk to your next level,talk to a human?
61534,Am I talking to Bot,I want to talk in hindi
45756,I want to book flight tickets Can you help me,I want to book flight tickets for NH7 weekeender
36082,set reminder medicine,remind me my medicine
5873,I am getting a error message when I log in,login error message
15776,I've already given the correct ID,I gave the correct order ID
43514,That was a valid order ID,Can't find order ID
53638,Play,We can play quiz
64457,I need pin,Need the pin to enter
9406,How can find the Lab ID And Password,My lab ID is
14093,How much time it take to be successful,I would like to take my money back
35728,Check availability,check availability of resorts
48066,How much will your charge for closing the account?,Can I close my account without transferring my shares?
36119,please send your photo,Please give your number
47669,Price of flight tickets to Switzerland,looking for Flight Tickets
36052,Customer service was rude,the customer service was great
8768,you guys are charging convenience fees,convenience fee zero
27961,Give me your pic,Give me your number
73679,remove match updates,match updates get
1671,I want to book a flight,I want to book round trip
33295,Need to book a train,Can you reserve railway tickets for me
53238,I still can't find it,Still can't find ID
53756,No password received yet,Have received password now
2792,I want to book flight tickets for NH7 weekeender,Book flights
10489,My area pin code is 700028 so where is nearest Dr lal center from this area.,I want to find nearby Dr. Lal Pathlab centers
1703,want the payout in new bank account as the exising is closed,link new bank account
872,show the leader board,show quiz leader board
52021,Need to know the features of Total Secure plan,how much is the premium for Total Secure
268,33 kg cylinder,450 KG Maxima Cylinder
37653,Whats my Zodiac sign?,i dont know my zodiac sign
2089,i do not need reminder,want reminder for drink water
5560,What is MF,MF
34867,plz stop to all reminders,I want to remove reminder
9169,send ticket softcopy,I want my tickets emailed
43081,I want discounts on uber booking.,please suggest offer
18869,want to purchase Flight Tickets,suggest me Flight Tickets
44891,Is there any offer,Any offer
11189,what is the cost,Charge
60654,How can I use coupon code in trains,How to apply coupon code
5463,Remind me to drink water,give me a call to drink water
56911,Are you dealing with pipe line gas in India?,Does SHV can do pipe line project works for a bullet system?
73120,I want offers on flights,any cashback on flight booking
60884,Search for 7pm,I need 2 tickets
38350,I want to link multiple bank accounts,Can i have multiple bank accounts linked with removing a bank account
65811,I want to check a trains arrival at station,i want to check in
40178,"Hey, can you remind me to jog?   .",remind me to exercise
2225,book cheapest flight,set cheapest flight alert
19546,I want offers on flights,Tutorial for flights cashback
13314,Tell another joke,show another joke
66842,what are the current offers,Any offers currently available on train booking
4783,set a reminder birthday,set a reminder jog
29196,help me to change the company name.,Please help me to locate lpg franchisee
45361,how do i pay TDS on property,How can I pay my stamp duty & registration charges
46926,"Hello, can you help me find a repair person?",Hi! I'm looking for a repair person  .
61413,provide me Flight Tickets,give me flight fare alerts
18001,want to apply the voucher,want to apply the voucher code
5579,doesnt work,it works
61599,what is the wifi name,wifi name
43278,recommend me medical store,Medical Store
12798,Send me the ticket on my mail,I want ticket booking
1190,any cashback on flight tickets,Is there student concession flights
65476,set reminder birthday,Can you schedule a reminder for exercise
69925,Can you check about the refund,I want to know about check in luggage
12566,I want to purchase,buy
5159,show flights on,i want flights from mumbai to delhi
36935,Account Linkage,bank account linkage
9953,recommend Flight Tickets,I wanna look for flights
14102,Visa need for Dubai,Do i need visa
62196,I need to book tickets,I want to book round trip
53284,Stamp Duty,Which are the instruments that attract the payment of Stamp Duty ?
67428,Any Coupons available on uber booking.,like to buy uber
14734,paint home,i want my house painted
5467,Tell me the premium amount for Total Secure,Total Secure plus
60053,How to avail cricket prize,How to avail prize bollywood
18720,connect free wifi,What is the duration of Free Wi-Fi?
41019,How to withdraw winnings,How to withdraw my winning cash
27778,i want to book cab,want to book ola
34013,Change bank details,check bank details update status
51513,Provide a cab,"Hi, Can you send a cab at work? ."
10155,I want to plan my day,I want to set a sehri reminder
65449,"Hey, can you set a reminder for me to wish anniversary?  . .",remind me to wish birthday tomorrow
4965,It was really bad,It was very bad
5078,Can u email me flight tickets,recommend Flight Tickets
40859,today's IPL match,Who won yesterday ipl match
65023,please send your photo,can you give me ur number
38736,I did not receive OTP,no otp received
12113,Is there any limit on the 100% cashback,any limit on using cashback
25732,Tell me the premium amount for Total Secure,Give me information of Total secure
15059,Cashback Not Received,Still not received cashback
50346,I need a reminder to drink water,give reminder
5250,Do u have any offer for flight,Any Discount on Cinema
75063,I got no sim card,I have an international SIM card
62943,recommend Flight Tickets,I want to book flight tickets for Diwali
8637,show more,Show more reminders for Haptik
66325,Why no cashback got,I did not get cashback
2224,order status,I want to check the status of my order
15608,want ticket from mumbai to pune,mumbai to pune
3586,"Premium,Interior Classic","Premium,Interior Premium"
72427,recommend me Flight Tickets,give me flight fare alerts
19132,I want pay my landline bill,I want pay  electricity bill
40882,I want to book a test,want to book a test for tomorrow morning
22509,I need invoice for my test,I want invoices
39832,Please clear chat history,I want to clear the chat history
14965,want to start repaying my loan,How to repay my loan
50311,I want to do a full body checkup,full body check-up
2450,Any cashback on train tickets,I want discounts on train ticket
6848,I dont know the flight number,I dont know lab id
64047,I am getting a cheaper fare somewhere else,Cheaper Fare
40692,what is contact number,contact number of
39887,show me flights from mumbai to pune,show flights on
51581,Are there any hidden charges,Are there any prepayment charges on Variable loans
27100,Connect me with customer support,what is your customer support number
67753,Can the Govt adopters be used on your cylinders ?,Can the regulator supplied by PSU Oil companies be used on your cylinders ?
10592,set reminder medicine,Can you schedule a reminder for meeting
20023,invite code blocked,How do I get my invite code?
27453,I want discounts on uber booking.,like to buy uber
55287,Email me my flight tickets,"Hey, I want to book a flight ticket ."
24927,check the current status of my train,Current Status of PNR train
67557,give me a your pic,Give me your no.
66846,I have already shared all the details,already shared above
23589,Give 10 miss,show for 2nd july
60503,can u mail me the tkt,please email
17684,Correct answers,Pls share correct answers
63822,Scores,how do you get the scores?
57919,pancard name change,change name of applicant
55874,Need your help to know the Premium for WAAC,What will be the premium for WAAC
56119,refund,When refund I received
736,pin on chat,not getting pin
21494,Set a new todo reminder,set a new reminder
5514,Cheap flight tickets,to buy Flight Tickets
45747,I want to book hotels,I need to book hotel room
66167,I'm interested in Romance in the Blues: Bali Honeymoon Package for 6 Days,I'm interested in Romance in the Blues Honeymoon Package for 6 Days
60468,show me flights from mumbai to pune,mumbai to pune
30659,how much is the price for the test,test price
47684,warranty complaint,Why warranty complaints are not attended by warranty team (Under 5 Year Warranty) even if customer has already paid full payment.
12388,This is awesome,good morning
7439,cancel my flight,I did not receive my refund on flight cancellation
9339,like to purchase Flight Tickets,Hi! I want to book a bus ticket.   .
46644,send me ur pic,give me a your pic
69100,did not get my,I did not get cashback
53661,modification Wake Up Call,I need a wake up call.
5321,doesnt work,password not working
16943,got the OTP,did not get One time password
22507,I want to delete all old message,Remove all subscriptions
8595,Tell me another Health benefit,Show health benefit
51360,Any offers for paying electricity bills,electricity bill
40794,Make Iced Chocolate,Ready for Iced Chocolate
71926,need flights from mumbai to pune,Plz list out flights options
53313,Do u have any offer for flight,Please tell me best domestic flight offer
27516,Gym,schedule a reminder exercise
1430,share nearby atm,closest atm
26584,I would like to buy an activa,I want to buy
49787,Need to book a train,I want to book a flight
18936,Modify this wake up reminder,Change my wakeup alarm
72487,tell me about discount deal on flight booking,any offer on flight booking
24970,I want to learn a new word daily to improve my English language,Send me new words daily
38626,show me trains,show train schedule
32954,Need to log in,I want a person to come to my place
251,Manage my flight bookings,I want to book a flight
39068,got the OTP,how to get otp
52235,Can you schedule a reminder to wish someone on their anniversary,"Hey, can you remind me wish someone Happy Birthday? ."
26770,Send me flight timings from Mumbai to Bangalore,14 th feb morning flight to goa 7 adults 2 kids
19393,Yesterday GK Leaderboard,Check yesterday's GK leaderboard
1017,Money's the goal,money
7234,i can access,i can not access
75516,I am not able to login,Unable to login
70184,hi  .,Say Hi .
1795,sofa,sofa seats
9242,Your contact no please,Can I get your contact no.
46444,When will today's IPL Match begin?,Next ipl match details
15202,important features of total secure,I want to know the key features of Total Secure
36102,I need a reminder to drink water,can you list my reminder
75665,what Checks done by Delivery boy,How to identify the delivery boy
32201,I want to check rail pnr,I want to check flights
58191,Extra car parking,Why is the car park plan not attached in the agreement?
1202,That was the correct order number,I've given the correct order number
20884,colors gujarati,all shows colors gujarati
62469,Show More Subscriptions,Show more
45773,Help me with flight booking,like to buy Flight Tickets
31181,set a reminder birthday,set reminder medicine
21559,How to book a cab,I want to book a flight
73403,How to pay for the ride,Driver cancelled..why I have to pay 47?
2904,password for downloading report,I want to download my report
58286,i want to book ticket in a train.,How can i book ticket
17190,I don't want your service,I dont want a call
6505,Assist me with Survival Benefits of GCAP,Assist me with Survival Benefits of my life plan
74888,Still not getting connected.,did not get One time password
29406,Thailand Honeymoon Destinations,Mauritius Honeymoon Destinations
15228,what is the procedure to change the address,Procedure to change address
5810,I would like to submit my answers for the Predict & Win quiz,I want to report an issue
30621,flights to Dubai,show me flights from mumbai to pune
9385,send me reminder to drink water,Will you remind me to drink water?
13219,I gave the correct order ID,My order ID was right
19914,change my reminder,sorry change that reminder
49517,I need your help,Can u send me your number
5530,electricity bill pay offers,Jamshedpur Electricity bill
74193,could you give me pin word here,I want pin on chat
35949,One time password is not working please resend,One time password not received
62445,show me your picture,I want your number plz
3587,reminder for jog,set reminder exercise
14516,become an investor,Investors become a Borrower
63664,gk prize announcement,see GK prize
17156,let's play,let's play games
35261,pin is not working please resend,pin did not come
59082,deep home cleaning,full home deep cleaning
21274,Mauritius Honeymoon Destinations,I'm interested in Alluring Mauritius Honeymoon for 7 Days
15524,I want to book flight tickets for ID-E-MILAD,show  Flight Tickets
5878,calculate premium for total secure,Calculate premium
18077,i am not getting the login page,not getting One time password
44062,Login procedure,Share login Procedure
31500,stop alerts,stop alert flight
69994,Send your pic,I want your number
29333,total secure plus benefits,Wealth Plus Benefits
7127,Steps to login,how to login with premium wifi
3277,Survival Benefit of My Life,what are the benefits of my life
3665,Now flight not required you can help me only train,I need help with job search
4974,status of report,Want to know status of report
11558,I want to register multiple bank accounts,How many multiple bank accounts can be added
45008,Muje cash back nahi mila,Cash back not credited
43331,What is the age limit for using the vouchers?,use voucher
66268,important features of total secure,Need your help to know the Premium for Total Secure
7652,I have not received cashback,Dint receive cashback
30168,my cashback,Cashback not receive
68374,Give me the information about Survival Benefits for Saral Nivesh,What will be the Survival Benefits of saral nivesh
70522,schedule a reminder drink water,Can you schedule a reminder for jog
737,Do you supply LPG for aerosol application also?,LPG Supply
75172,relatives children use voucher,use voucher
67618,Its 48 hour already left sir,I will give already 24 hours
65000,need help for Airport Assistance,I need help
220,I want more information,more information
60022,I want to see the right answers,I want to see my subscriptions
10406,change phone number,change mobile
34338,cash back on flights,I didnt receive any cash back
28172,I find cheap at other sites,found cheaper fare elsewhere
75150,Change Bank Account,How can I change the bank account?
33651,Cancel all reminders,Please tell my all reminder
68677,I would like to book a flight ticket,Help me flight booking
8819,Show me Uber Cab,suggest me uber
67217,check cricket leaderboard,cricket leaderboard
36370,Is this available in my city /town ?,will this be available in my city?
71743,These are very expensive,all r very costly
32385,i want offer on flight tickets,Hi i want to book flight tickets .
3510,33 kg cylinder,how can i get a 2kg cylinder
7054,I gave the right ID,That was the right ID
34347,price of test,may i know the rate of the test
61697,schedule a reminder jog,make a reminder exercise
5214,any flight deals,Is there student concession flights
4770,Is this the final price I have to pay No offers available,I want to book movie tickets and avail discounts
18957,Benefits of premium wifi,how to make payment for premium wifi
30210,I would like to change my  exercise reminder,set reminder jog
4951,remind me about birthday,remind me about
37035,Critical Illness,Critical Illness Plans
53227,Receiving Error message while getting connected,Why am I getting error messages
60113,a fake app,app fake or original?
24628,any cash back on flights,cash back on flights
4800,want to check report,check my report status
6306,"Hi, I want a cab for an Outstation Trip .",Provide a cab
64627,how to buy paid wifi,how do i pay for wifi
604,Is there any offer on electricity bill payment?,I recharged my mobile using phonepe and I cant find any cashback
71317,get the app,not getting the app link
3923,open demat account,documents necessary for opening a demat account
72578,The amount is debited from my bank account but balance is not showing,Can I clear my debit from multiple bank
35529,wake up reminder modify,Edit reminder
55214,any cashback,any offer on mobikwik
5304,how much salon services cost?,Wana know abt charges... Service
22922,My Electricity Bill Payments provider is not there,Electric bill
19230,cashback on flights,Give me best offers on flights
42530,Give a update about that when the price is less,Alert me when price drops
46468,Hi! I need some help planning my Train Travel! .,I want to check schedule of a train
65568,set a wakeup call,Can you set a wake   alarm for me?
22028,How can I use coupon code in trains,How can I add coupon code in flights
18964,Book train,Can you reserve railway tickets for me
36003,search again,try again
53176,set reminder drink water,schedule a reminder jog
18519,I don't know How to play,How to play?
63557,give me a your pic,give me ur number
4295,"I don't understand, this is the right order ID",I can't find my order ID.
47436,may i book a train ticket through this,book train tickets
49513,Tell me the key features of Total Secure,Help me with the Premium for Total Secure
9858,I did not get my,I not get Cash back
40007,35-45,Under 5 lacs
13707,I need a invoice copy,Send the invoice
64660,What are the documents given back to me once I surrender my connection ?,back to main menu
57587,deals,Did not receive cashback
29223,can u give me ur number,I want ur number
19112,I did not receive my refund on flight cancellation,stop the flight alert
70641,What should I do If there is No franchisee?,there is no action by distributor on complaint
53960,modification motivational quote,motivation quote
74075,Tutorial for trains coupon code,How to apply coupon code
9861,I want to delete my reminder,delete reminder
31749,I want to book a cab to home,Cab booking
31213,suggest me Flight Tickets,Is there any reminder for flights ticket
29685,I've given the correct order number,I gave the correct ID
53228,i want offer on flight booking.,Please tell me best domestic flight offer
47251,What is a procedure to change the company name,I want to change person.
70033,status of train,Can you tell me train statuses
18498,Cash back not recieved,cash back nahi aaya
59427,That order ID is correct,Where is my order ID?
15457,set reminder birthday,set a reminder jog
7141,Safety tips hotel,Safety tips for home
56154,How will I get the gk prize,Any gk prize?
36164,got the One time password,how to get otp
61369,You guys book hotels,Hotel bookings
23276,any offers on mtnl mumbai bill payments,Bill payments
60249,I would like to change my  exercise reminder,set a reminder exercise
53105,features of WAAC,I want to know the key features of WAAC
66882,"grievance related to takula, which level of adminstration",Issues related to Banks
1849,i want offer on flight booking.,tell me about discount deal on flight ticket
43268,Can I please know the term plan,Can you please tell me about Term Plans?
16281,ultimate body be formed after possession,What if I have children after possession of the flat?
12812,Where to apply coupon code?,Any coupon code
8215,What kind of grievances can I post,post a grievance
54184,how much is the premium for Total Secure,May I please know the Premium for Total Secure
25269,tell me about discount deal on flight ticket,like to buy Flight Tickets
54157,looking for Flight Tickets,i want flights from mumbai to delhi
57287,pay for training material,Who is the recipient of the money paid for the trainings to the academies?
9540,Tell me another story,another story
45801,for what can i use the cashback,How can I use coupon code in flights
47353,"Hey, can you find me the nearest place for vehicle repair?  .","Hey, can you look for the nearest places with Free Wifi ."
58092,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,Please proceed with below flights
3664,Engine Oil Change,in servicing my bike they will change engine oil
16660,I want to register multiple bank accounts,Can i have multiple bank accounts linked with removing a bank account
9950,I have been blocked,bonus money been blocked
51924,getting cheap somewhere else,getting cheap on paytm and goibibo
30098,I want to book flight tickets Can you help me,I want to book flight tickets for Guru Nank Jayanti
498,I need for 8 persons,i want 12B 12C
4797,I want to know the flight prices to Delhi,i want to fare of domestic flights
49348,What are the Survival benefits?,Want to know Survival Benefits of my life plan
30992,Unable to receive pin,unable to connect
72797,Do you have features for Total Secure Plan,Need to know the features of Total Secure plan
5094,any cashback,any discount for dinner?
775,remind jog,call to remind exercise
42910,"Hey, can you remind me to take my medicines?  .",remind me to take my medicine
18666,Collection center kichha udham singh nagar,sample  to collection center
35028,show more,show me more products
72311,I dont remember the flight number,I dont remember my LAB ID
61630,Can you schedule a reminder for calling someone,call someone
12318,Tutorial for flights coupon code,Tutorial for flights discounts
9612,mumbai to pune,flight tickets from mumbai to delhi
593,I want to switch relationship manager,i am not getting services from relationship manager
32733,stock tips,tips
67723,How will I identify when leakage?,What actions need to be taken when leakage is detected?
41077,Bill payments,Best Mumbai Electricity Bill Payment
16155,tell me about Icr,tell me about MCLR
52448,list of my reminder,want reminder for wake up
74532,I dont have flight number,CAN I BOOK TICKET BUT NOT IN FLIGHT BUT TRAIN
73311,want to enquire about tiffin,want to know about tiffin
13121,Donot send me updates,Could you please stop sending me updates I no longer want to travel
20816,stop my reminder,I need to cancel a reminder
46890,any limit on cashback,any limit on using cashback
5290,available train tickets from vizag to Mumbai,Kolkata to Bangkok fair
13724,send me reminder to drink water,want reminder for
15105,Still not received Amazon Cashback,Still not refund
67499,Muje cash back nahi mila,My cash back is not credited
66945,Delete all my reminders,view all reminders
40978,Home Loan,advise how much home loan I will get
9259,no,No need of reminder
29476,"How safe is your cylinder and as a Customer what I should be checking while receiving a refill from your side ?
What are the check points need to check after receiving the refill ?
What are the checkpoints to ensure safe cylinder is received?
What are the checkpoints to ensure cylinder is safe for use?",How safe is your cylinder
47616,change my reminder,Can you help me edit my reminders
36912,Email not received,I have not received dividend
7991,Modify this Horoscope reminder,Set a daily reminder for horoscope
12980,Which cylinder should I use in hotel?,What material you use for the cylinders
37065,Is there any promo code which we can apply,Share promo code for flights.
10178,I would like to edit my To-do list,Please show me my to-do list of pending tasks
3240,No OTP received yet,Have received OTP now
62135,Got my One time password,didnt get OTP
2758,what are discounts available on flight booking,Book flight
64167,Home Loan,what are the hidden charges for home loan
28600,Blood test today,Need to have a blood test at home
39694,still not got amazon cashback,Still not refund
66254,Train ticket booking,can you cancel my train ticket
2985,show flights on,show me flights from mumbai to pune
25752,who is my nominee,provide the documentation details to update nominee who is minor
42038,find me nearby railway station,railway station
69562,What is Survival benefits?,Assist me with Survival Benefits of GCAP
43404,signup fee,signup
46076,You know hindi,do you know hindi language
4555,i have a issue,report an issue
35866,Too high,Cost is so highly
14202,Getting error while getting connected,I want to get connected to your wifi
46147,show  Flight Tickets,want to buy Flight Tickets
27571,cannot connect,cannot connect to airport
52912,Become a Auto LPG Franchisee,Locate auto LPG
53071,stop alert flight,stop all flight alerts
65097,send me a joke,Stop sending jokes daily
53418,Cash back not receive,cash back issue
73192,What is expiry date of cashback amount,Is Amazon cash back offer valid for dth
44058,I want cab at 5th November,book a cab on 5th November at 10 pm
64513,view the bollywood leaderboard,Check yesterday's bollywood leaderboard
48076,drink water,I want to cancel my drink water reminder
43358,send me horoscope update everyday,send horoscope every friday
3378,bollywood prize announcement,prize announcement
5141,need help at the airport,I need help
22081,change bank account,change my bank
38615,cash back nahi aaya,did not get cash back
20828,Share more information about your CSR intitatives,More information about the new movie
72507,Whats the charge for the test,What charges will I have to pay to reschedule it
71245,BSNL landline bill payment is not available in this site,Telangana power provider is not available
43675,Change pick up point,I want to change my pick up and drop location
50476,Key features of Total Secure,Explain me the key features of Total Secure
4500,see prizes for the predict & win quiz,I would like to submit my answers for the Predict & Win quiz
76031,want reminder for anniversary,show my reminders
11318,Is there any cashback,Do u have any promocode
47377,That's the right order ID,My order ID is right
44333,top ideas to trade,how to trade in future and options?
31043,Tell me the key features of Total Secure,Tell me the premium amount for Total Secure
16915,Price of flight tickets to Switzerland,I want flight rate
2974,remind medicine,want reminder for medicine
62479,show gk leaderboard,show yesterdays  GK leaderboard
4479,Location of the shooting of this serial taking place,New event taking place
55383,defect liability date,documentation to cover defect liability period
75947,How do i contact the police,Should i contact the police
42347,Don't know the answers,I dont know lab id
27737,found cheaper on yatra,I can find low fares on other sites
11673,Still not received cashback,Cashback not Received
39997,what's your favourite colour?,What is your favourite burger
43182,Help me with the Key Features,I want to know the key features of WAAC
7120,gk Terms & Conditions,bollywood Terms & Conditions
64836,I am in top 200 in gk,I am in top 200
56374,project registered under RERA,When is a project Deemed registered under RERA
16537,I want to book flight tickets for NH7 weekeender,I want to book flight tickets Can you help me
33279,Plz book under armed forces,book under senior citizen
51563,Is it paid??,how to pay
38135,Dont send,Not looking to book anything
26949,I am getting better fare for this flight,I want flight rate
55652,Railway booking,Can you reserve railway tickets for me
3301,internet speed is quite slow,boost my internet speed
53189,Help me with Survival benefits,What will be the Survival Benefits of WAAC
17201,talk to a real person,Please connect me to a real person
10203,please send your photo,I want ur number
29153,I want to book ticket,I need to book a flight
33170,Can I change my Email id?,forgot email id aswell
15602,On Paytm,Paytm cheaper on
39666,Can i pay landline bills?,Can i pay landline bills on haptik
18517,show me flights without any stop,recommend Flight Tickets
41709,I want to book flight tickets for Guru Nank Jayanti,Book flights
8510,send me reminder to drink water,my reminder list
3983,when is level up calculated,what are rewards for levelling up
69192,no i dont,no i can not access
26168,stop alert flight,Cancel this alert
42377,Explain me the key features of Total Secure,What will be the premium for Total Secure
43307,I want to see my policy list,Want to see the product list
20815,when can i place Payout request,payout request for options segment
5195,like to purchase Flight Tickets,Is there any reminder for flights ticket
6378,I want to book the seats,do i need to book an appoinment
31055,maintenance rate after federation,maintenance rate different for residential and commerical
